"Timestamp","When was the last time you watched a movie?","How often do you watch movies (In a Month)?","Most of the movies you wanted to watch was because of...","How often do you go to the Cinema?","What is your favorite movie?","Why would someone want to watch this movie?","What do you like most about your favorite movie?","What's the genre of your favorite movie?","Are there any movie genres that you think are underrated or underappreciated?","1 = Least Favorite
5 = Most Favorite [Action]","1 = Least Favorite
5 = Most Favorite [Adventure]","1 = Least Favorite
5 = Most Favorite [Comedy]","1 = Least Favorite
5 = Most Favorite [Drama]","1 = Least Favorite
5 = Most Favorite [Romance]","1 = Least Favorite
5 = Most Favorite [Horror]","1 = Least Favorite
5 = Most Favorite [Sci-fi or Fantasy]","1 = Least Favorite
5 = Most Favorite [Musical]","1 = Least Favorite
5 = Most Favorite [Family]","Do you usually research a new movie before watching it?","If Yes, Which of the following sources do you use?","Which form of Movie Advertising do you find most effective?","How often does a movie disappoint your expectations?","1 = Least Important
5 = Most Important [Cast]","1 = Least Important
5 = Most Important [Genre]","1 = Least Important
5 = Most Important [Director]","1 = Least Important
5 = Most Important [Studio]","1 = Least Important
5 = Most Important [Reviews]","1 = Least Important
5 = Most Important [Quality of Story]","Where do you usually watch movies","When do you usually decide which movie you are going to see?","Most of the movies you wanted to watch was because of...","When going to the Cinema, you usually go..","Who do you usually go to the cinema with?","What do you usually do if you arrive to the Cinema and your movie has been sold out?","Do the Seats and Snacks of the Cinema usually have an effect on how much you enjoy a movie?","Why do you prefer watching movies at home instead of going to the cinema?","What's the genre you prefer watching home?","What kind of setup do you have for watching movies at home? Do you have a special room or equipment?","Where do you usually watch movies home?","What's your favorite Streaming Platform? (Where do you usually download movies)","What is your Student ID?","What is your Age?","Are you a Student in FCDS?","If Yes, What's your major (Department)?","If No, What's your college major?","Please select your Gender.","Please let us know if you have any comments or suggestions on how we can improve this survey.","","","","","","","","","","","","","","","",""
"2023/04/24 3:39:49 AM GMT+2","Last Month","Three or four times","Friends Recommendations","Once or Twice a year","requiem for a dream ","","Quality of Story","Drama;phycological thriller ","","5","4","4","5","1","4","4","3","3","Sometimes","Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","4","4","3","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Watch another movie","No","","","","","","20201496986","20","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 8:21:17 AM GMT+2","This month","Once or twice","Social Media (Viral Videos)","Once or Twice a year","Avatar","","Quality of Story","Drama","","1","1","4","4","3","1","1","2","3","Sometimes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","3","2","3","4","4","","Before going to the Cinema","Social Media (Viral Videos)","Weekday - Evening","","Find something else to do","Yes","","","","","","20201031276","21","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 9:08:26 AM GMT+2","Last Month","Once or twice","Friends Recommendations","I don't go to the Cinema","Hawaa on the road","","Quality of Story","Comedy;Romance;Sci-fi or Fantasy","","1","2","4","3","4","2","4","3","4","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","3","4","3","2","4","","In the Cinema","Internet Sites","Weekend - Afternoon","","Watch another movie","Yes","","","","","","2","20","","","","Female","Make questions about cinema and student id optional ","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 9:42:57 AM GMT+2","This month","Three or four times","Friends Recommendations","Once or Twice a year","3 idiots ","","Genre","Action;Adventure;Comedy;Drama;Family","","5","4","5","4","2","2","3","2","5","Yes","Friends' Opinions (who already watched it);Film Ratings","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","5","3","3","5","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","","Yes","","","","","","20221509866 ","20","","","","Male","Amazing work❤️... I don't have any suggestions.","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 11:52:06 AM GMT+2","I don't watch movies often","Less than once","Social Media (Viral Videos)","Once or Twice a year","Inception ","","Quality of Story","Action;Sci-fi or Fantasy","","3","3","1","1","1","2","3","1","2","No","","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","4","2","5","5","5","","In the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Watch another movie","No","","","","","","20221466240 ","19","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 12:00:17 PM GMT+2","Less than a week","Once or twice","Friends Recommendations","Once or Twice a year","The dark knight","","Genre","Action;Adventure;Drama;Horror;Sci-fi or Fantasy","","4","3","2","2","1","4","3","1","2","Sometimes","Internet Sites;Critical Reviews;TV Entertainment Programs","Internet Sites (including Facebook 'fan' pages)","Usually","3","4","1","1","5","3","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","Buy tickets for a later show","Yes","","","","","","20221445695","19","","","","Male","Great job 👏🏻 ","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 12:02:05 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","I don't go to the Cinema","..","","Quality of Story","Comedy;Romance;Family","","1","3","5","2","5","1","1","3","4","Sometimes","Internet Sites;TV Entertainment Programs;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","1","3","3","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Afternoon","","Find something else to do","Yes","","","","","","22011461","18 or younger","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 1:05:45 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","Once or Twice a year","The shawshank redemption ","","Quality of Story","Adventure;Comedy;Drama;Sci-fi or Fantasy;Family","","2","5","5","5","3","1","4","3","5","Sometimes","Internet Sites;Critical Reviews","Viral Videos","Sometimes","3","5","1","1","4","4","","Before going to the Cinema","Social Media (Viral Videos)","Weekday - Afternoon","","Buy tickets for a later show","Yes","","","","","","20221462934 ","20","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 1:32:22 PM GMT+2","This month","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Me before you","","Quality of Story","Adventure;Comedy;Drama;Romance;Horror;Family","","3","4","5","5","5","4","3","2","5","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","2","2","5","5","","Before going to the Cinema","Trailers","Weekend - Afternoon","","Watch another movie","Yes","","","","","","20221444910","20","","","","Female","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 2:39:13 PM GMT+2","I don't watch movies often","Less than once","Friends Recommendations","I don't go to the Cinema","I don't have a favorite movie ","","Acting","Action;Comedy;Horror","","4","5","5","1","1","4","5","1","1","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Usually","5","4","5","3","4","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Watch another movie","No","","","","","","20221444401","21","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:42:20 PM GMT+2","Less than a week","More than four times","Friends Recommendations","Once or Twice a year","Chungking Express","","Directing","Comedy;Drama;Romance","","5","5","5","5","5","5","5","5","4","Sometimes","Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","2","1","5","1","3","3","","Before going to the Cinema","Friends Recommendations","Weekday - Afternoon","","Find something else to do","No","","","","","","20221468640","20","","","","Male","It was fun doing this survey.","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:44:39 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","I don't go to the Cinema","Drama , comedy , romantic ","","Quality of Story","Adventure;Comedy;Drama;Romance;Family","","4","4","5","5","5","2","3","1","5","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","5","3","3","5","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Watch another movie","Yes","","","","","","27472919262","20","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:46:18 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","Once or Twice a year","جزيره الشيطان  ","","Quality of Story","Action;Adventure;Drama","","3","3","2","3","1","1","1","1","2","Yes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","1","5","2","5","5","5","","Before going to the Cinema","Internet Sites","Weekend - Evening","","Watch another movie","Yes","","","","","","20221375788","20","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:54:12 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once or Twice a year","the shawshank redemption","","Quality of Story","Action;Adventure;Comedy;Horror;Musical;Festival Short films ","","3","3","5","1","1","3","2","4","3","Yes","Internet Sites;TV Entertainment Programs;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","4","4","4","2","3","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","Buy tickets for a later show","Yes","","","","","","20221461924","19","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:55:06 PM GMT+2","Last Month","Less than once","Social Media (Viral Videos)","I don't go to the Cinema","Five Feet Apart","","Quality of Story","Drama;Romance","","3","3","3","4","4","1","1","1","3","Sometimes","Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","3","5","3","5","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Find something else to do","Yes","","","","","","20221444884","19","","","","Female","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 2:56:32 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","Once or Twice a year","I don't have a favorite movie ","","Quality of Story","Action;Adventure;Comedy;Drama;Romance;Family","","2","3","3","3","3","3","2","1","3","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","2","3","1","1","2","4","","Before going to the Cinema","Internet Sites","Weekday - Evening","","Watch another movie","Yes","","","","","","20201379453","21","","","","Female","It's nice..good luck 🤞","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:57:57 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once or Twice a year","Violet Evergarden: Eternity and the Auto Memory Doll ","","Quality of Story","Drama","","5","5","5","4","4","2","5","4","2","Yes","Internet Sites;Critical Reviews","Viral Videos","Sometimes","4","3","1","1","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Find something else to do","Yes","","","","","","000000000000","20","","","","Male","Some people like me don't want to submit their ID, so maybe if you don't necessarily need it make the question optional.
I would also like to apologize if not writing the my real ID causes you hardships dealing with the data","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 2:58:12 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","I don't go to the Cinema","Inception","","Acting","Sci-fi or Fantasy","","5","5","1","3","1","4","4","1","1","Yes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Never","4","5","4","2","3","5","","In the Cinema","Social Media (Viral Videos)","Weekday - Evening","","Find something else to do","Yes","","","","","","20221368636","20","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:00:12 PM GMT+2","This month","Three or four times","Trailers","Once or Twice a year","The Dark knight ","","Genre","Action;Adventure;Comedy;Drama;Sci-fi or Fantasy","","5","5","4","4","3","4","5","3","3","Sometimes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","4","2","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Buy tickets for a later show","No","","","","","","20221461330","19","","","","Male","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:01:36 PM GMT+2","Less than a week","Once or twice","Trailers","I don't go to the Cinema","Avengers endgame","","Quality of Story","Action;Adventure;Comedy;Horror;Sci-fi or Fantasy","","5","5","5","2","2","4","5","2","4","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","3","3","3","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Watch another movie","Yes","","","","","","20221375560","20","","","","Male","it's good 🙂","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:03:07 PM GMT+2","I don't watch movies often","Less than once","Friends Recommendations","Once or Twice a year","Divergent ","","Acting","Action;Adventure;Romance;Sci-fi or Fantasy","","4","4","1","2","3","1","4","1","2","Yes","Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Usually","3","4","3","2","4","4","","Before going to the Cinema","Friends Recommendations","Weekday - Evening","","Watch another movie","Yes","","","","","","23","20","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:03:18 PM GMT+2","Less than a week","More than four times","Friends Recommendations","Once or Twice a year","harry potter movies","","Quality of Story","Adventure;Sci-fi or Fantasy","","4","5","3","1","1","3","5","1","4","Yes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","4","1","1","4","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","Buy tickets for a later show","Yes","","","","","","20221376488","21","","","","Female","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:03:51 PM GMT+2","This month","Once or twice","Social Media (Viral Videos)","Once or Twice a year","The maze runner ","","Acting","Adventure;Comedy;Horror;Sci-fi or Fantasy","","2","4","2","1","2","5","5","4","3","Yes","Internet Sites;Critical Reviews","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","4","4","4","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Find something else to do","No","","","","","","20221410465","18 or younger","","","","Female","مواجهتنيش اي مشاكل ومعنديش تعليقات ","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:04:16 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","I don't go to the Cinema","Blade runner ","","Quality of Story","Action;Adventure;Comedy;Horror;Sci-fi or Fantasy","","4","4","4","3","2","3","4","2","1","Sometimes","","Merchandising (Games, Soundtrack, T-shirts, etc... related to the movie brand)","Usually","3","4","1","1","2","4","","Before going to the Cinema","Social Media (Viral Videos)","Weekday - Evening","","Find something else to do","No","","","","","","20221370833","20","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:06:05 PM GMT+2","Less than a week","Once or twice","Friends Recommendations","I don't go to the Cinema","Interstaler ","","Quality of Story","Adventure;Sci-fi or Fantasy","","5","5","5","2","1","1","5","5","1","Sometimes","Friends' Opinions (who already watched it)","Viral Videos","Usually","1","1","1","1","5","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","Find something else to do","Yes","","","","","","1","19","","","","Male","في سؤال اذا كنت بروح السينما و قولت لأ مش بروح سينما، و بعدين لاقيت نص الاسئلة ببتكلم عن اني لما بروح السينما بعمل ايه، انا كدا كدا مش بروح 💀 ياريت نخلي الاسئلة دي optional ...","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:10:32 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once a month","The Shawshank redemption ","","Acting","Action;Adventure;Comedy;Drama;Romance;Horror;Sci-fi or Fantasy;Family","","3","2","4","4","4","3","4","1","3","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","2","3","2","4","4","4","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Afternoon","","Buy tickets for a later show","No","","","","","","20221453856","20","","","","Male","It's was a nice experience ","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:10:34 PM GMT+2","Less than a week","Once or twice","Internet Sites","Once or Twice a year","John wick","","Acting","Action;Adventure;Drama;Romance","","5","4","2","4","5","3","4","1","1","Sometimes","Internet Sites;TV Entertainment Programs","Internet Sites (including Facebook 'fan' pages)","Usually","4","5","1","1","2","5","","In the Cinema","Internet Sites","Weekend - Evening","","Find something else to do","Yes","","","","","","20221375760","19","","","","Male","The questions are repeated ,that is boring in the questionnaire","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:10:35 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","Once or Twice a year","Interstellar ","","Quality of Story","Action;Adventure;Comedy;Sci-fi or Fantasy","","4","5","3","1","1","3","5","1","5","No","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","3","2","2","2","5","","In the Cinema","Friends Recommendations","Weekday - Afternoon","","Buy tickets for a later show","No","","","","","","0000000","19","","","","Male","Very good survey ","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:11:12 PM GMT+2","Less than a week","Three or four times","Trailers","Once or Twice a year","The Dark night ","","Acting","Action;Adventure;Horror;Sci-fi or Fantasy","","5","5","1","1","1","5","5","3","3","Yes","Internet Sites","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","5","3","5","3","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Buy tickets for a later show","Yes","","","","","","20221459977","19","","","","Male","Added series too 🙋🏻‍♂️","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:12:49 PM GMT+2","Less than a week","More than four times","Friends Recommendations","I don't go to the Cinema","Godfather ","","Quality of Story","Action;Adventure;Comedy;Drama;Horror;Sci-fi or Fantasy","","5","5","3","5","1","4","5","3","1","Sometimes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Merchandising (Games, Soundtrack, T-shirts, etc... related to the movie brand)","Sometimes","5","3","5","4","5","5","","Before going to the Cinema","Internet Sites","Weekend - Evening","","Find something else to do","Yes","","","","","","20221469363","19","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:12:57 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","I don't go to the Cinema","Shawshank redemption ","","Quality of Story","Action;Drama","","4","5","1","5","1","4","1","1","3","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","5","1","3","5","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","Find something else to do","Yes","","","","","","20221060922","18 or younger","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:16:42 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","Once or Twice a year","كتير اوي 🌚😂😂😂","","Acting","Comedy;Drama;Romance;Musical;Family","","3","1","4","4","3","1","1","3","3","Yes","Internet Sites","Viral Videos","Sometimes","2","2","1","1","4","3","","Before going to the Cinema","Internet Sites","Weekend - Evening","","","Yes","","","","","","20221400420","19","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:17:22 PM GMT+2","Less than a week","More than four times","Internet Sites","I don't go to the Cinema","Avengers","","Quality of Story","Action;Adventure;Sci-fi or Fantasy","","4","5","1","1","2","1","5","3","3","Yes","Internet Sites;Critical Reviews","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","1","5","1","2","4","5","","Before going to the Cinema","Internet Sites","Weekend - Afternoon","","Buy tickets for a later show","Yes","","","","","","20221462171","20","","","","Female","Add a choice for who do not go to the cinema in the last 3 questions","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:17:22 PM GMT+2","I don't watch movies often","Less than once","its moral ","I don't go to the Cinema","Aashiqui 2","","Quality of Story","Romance","","2","3","1","1","3","3","3","3","2","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","1","2","3","5","","Before going to the Cinema","its moral ","Weekend - Evening","","Find something else to do","Yes","","","","",""," 20221441563","20","","","","Female","there are some questions about if anyone likes going to cinema , what he do in it and before that if we prefer going to cinema or not !
so, if one person didn't go to cinema anymore , he can't answer the previous 3 questions correctly . this will effect your survey and quality of data collected through it . 
","","","","","","","","Home (On the Internet)","","","","","","","",""
